the	a
be	van
and	és
of	ból
a	egy
in	ban
to	ba
have	birtokol
it	az,
I	én
that	hogy
for	miatt
you	te
he	õ
with	val
on	on
do	csinál
say	mond
this	ez
they	õk
at	nál
but	de
we	mi
his	övé
from	tól
that	hogy,
not	nem
by	nál
she	õ
or	vagy
what	mi,
go	megy
their	övék
can	tud,
who	ki,
get	kap
if	ha
would	lenne,
her	õt,
all	mind,
my	enyém
make	csinál
about	körülbelül,
know	tud,
will	fog,
as	mint
up	fel
one	egy
time	idõ
there	ott
year	év
so	tehát,
think	gondol
when	mikor,
which	melyik,
them	õket,
some	néhány
me	én
people	emberek
take	fog,
out	kint
into	bele
just	csak
see	lát
him	õt
your	tied
come	jön
could	tudna
now	most
than	nál,nél
like	mint
other	másik
how	hogyan
then	mint
its	övé,
our	mienk
two	kettõ
these	ezek
want	akar
way	út
look	néz
first	elsõ
also	is
new	új
because	mert
day	nap
more	több
use	használ
no	nem
man	férfi
find	talál
here	itt
thing	dolog
give	ad
many	sok
well	jól,
only	csak
those	azok
tell	mond
very	nagyon
back	vissza
